2021-02-07/22:00:39		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-07/22:00:40		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-07/22:00:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-07/22:00:41		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-07/22:00:42		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-07/22:00:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-07/22:00:44		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-07/22:00:44		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-07/22:00:45		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-07/22:16:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-07/22:16:36		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-07/22:16:36		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-07/22:16:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-07/22:16:37		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-07/22:16:38		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-07/22:16:39		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-07/22:16:40		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-07/22:16:41		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-03/00:01:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-03/00:01:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-03/00:01:46		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-03/00:01:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-03/00:01:48		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-03/00:01:49		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-03/00:01:50		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-03/00:01:51		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-03/00:01:51		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-04/19:02:43		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-04/19:02:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-04/19:02:44		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-04/19:02:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-04/19:02:46		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-04/19:02:46		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-04/19:02:47		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-04/19:02:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-04/19:02:48		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-04/19:07:32		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-04/19:07:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-04/19:07:33		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-04/19:07:34		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-04/19:07:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-04/19:07:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-04/19:07:36		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-04/19:26:23		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-04/19:26:24		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-04/19:26:24		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-04/19:26:25		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-04/19:26:25		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-04/19:26:26		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-04/19:26:27		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-04/19:26:28		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-04/19:26:28		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-04/19:51:50		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-03-04/19:51:50		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-03-04/19:51:51		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-03-04/19:51:52		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-03-04/19:51:53		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-03-04/19:51:53		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-03-04/19:51:54		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-03-04/19:51:55		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-03-04/19:51:55		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-03-04/20:15:50		Data Transformation failed because:: 'dataTransform' object has no attribute 'awsObj'
2021-03-05/19:44:58		Data Transformation failed because:: 'dataTransform' object has no attribute 'awsObj'
2021-03-05/20:02:09		Data Transformation failed because:: 'dataTransform' object has no attribute 'awsObj'
2021-03-05/21:18:47		Data Transformation failed because:: 'dataTransform' object has no attribute 'awsObj'
